ID,min_year,max_year
28803,2010,2019
28804,2010,2019
28805,2010,2020
28806,2010,2020
28807,2010,2019
28808,2010,2019
28809,2010,2020
28810,2010,2020
28811,2010,2020
28812,2010,2020
28813,2010,2020
28814,2010,2020
28815,2010,2019
28816,2010,2019
28817,2010,2019
28818,2010,2019
28819,2010,2019
28820,2010,2020
28821,2010,2020
28822,2010,2020
28823,2010,2020
28824,2010,2020
28825,2010,2019
28826,2010,2019
28827,2010,2019
28828,2010,2020
28829,2010,2020
28830,2010,2020
28831,2010,2020
28832,2010,2020
28833,2010,2020
28834,2010,2019
28835,2010,2019
28836,2010,2019
28837,2010,2019
28838,2010,2019
28839,2010,2020
28840,2010,2020
28841,2010,2020
28842,2010,2020
28843,2010,2020
28844,2010,2019
28845,2010,2020
28846,2010,2020
28847,2010,2020
28848,2010,2020
28849,2010,2020
28850,2010,2020
28851,2010,2020
28852,2010,2020
28853,2010,2020
28854,2010,2019
28855,2010,2019
28856,2010,2019
28857,2010,2019
28858,2010,2019
28859,2010,2020
28860,2010,2020
28861,2010,2020
28862,2010,2020
28863,2010,2020
28864,2010,2020
28865,2010,2019
28866,2010,2019
28867,2010,2019
28868,2010,2019
28869,2010,2020
28870,2010,2020
28871,2010,2020
28872,2010,2020
28873,2010,2019
28874,2010,2019
28875,2010,2020
28876,2010,2020
28877,2010,2020
28878,2010,2020
28879,2010,2020
28880,2010,2020
28881,2010,2020
28882,2010,2020
28883,2010,2019
28884,2010,2019
28885,2010,2019
28886,2010,2019
28887,2010,2019
28888,2010,2020
28889,2010,2020
28890,2010,2020
28891,2010,2020
28892,2010,2020
28893,2010,2020
28894,2010,2020
28895,2010,2019
28896,2010,2019
28897,2010,2020
28898,2010,2020
28899,2010,2019
28900,2010,2019
28901,2010,2020
28902,2010,2020
28903,2010,2020
28904,2010,2020
28905,2010,2020
28906,2010,2020
28907,2010,2019
28908,2010,2019
28909,2010,2019
28910,2010,2019
28911,2010,2019
28912,2010,2020
28913,2010,2020
28914,2010,2020
28915,2010,2020
28916,2010,2020
28917,2010,2020
28918,2010,2019
28919,2010,2019
28920,2010,2019
28921,2010,2019
28922,2010,2019
28923,2010,2020
28924,2010,2020
28925,2010,2020
28926,2010,2020
28927,2010,2020
28928,2010,2020
28929,2010,2019
28930,2010,2019
28931,2010,2019
28932,2010,2019
28933,2010,2019
28934,2010,2020
28935,2010,2020
28936,2010,2020
28937,2010,2020
28938,2010,2020
28939,2010,2020
28940,2010,2019
28941,2010,2019
28942,2010,2019
28943,2010,2019
28944,2010,2019
28945,2010,2020
28946,2010,2020
28947,2010,2020
28948,2010,2020
28949,2010,2020
28950,2010,2020
28951,2010,2019
28952,2010,2019
28953,2010,2019
28954,2010,2019
28955,2010,2019
28967,2010,2020
28968,2010,2019
28969,2010,2020
28970,2010,2020
28971,2010,2020
28972,2010,2020
28973,2010,2020
28974,2010,2020
28975,2010,2019
28976,2010,2019
28977,2010,2019
28978,2010,2019
28979,2010,2019
28980,2010,2020
28981,2010,2020
28982,2010,2020
28983,2010,2020
28984,2010,2020
28985,2010,2020
28986,2010,2019
28987,2010,2020
28988,2010,2020
28989,2010,2020
28990,2010,2020
28991,2010,2020
28992,2010,2020
28993,2010,2019
28994,2010,2019
28995,2010,2019
28996,2010,2019
28997,2010,2019
28998,2010,2020
28999,2010,2020
29000,2010,2020
29001,2010,2020
29002,2010,2020
29003,2010,2020
29004,2010,2019
29005,2010,2019
29006,2010,2019
29007,2010,2019
29008,2010,2019
29009,2010,2020
29010,2010,2020
29011,2010,2020
29012,2010,2020
29013,2010,2020
29014,2010,2020
29015,2010,2019
29016,2010,2019
29017,2010,2019
29018,2010,2019
29019,2010,2019
29022,2010,2020
29023,2010,2020
29024,2010,2020
29025,2010,2020
29026,2010,2020
29027,2010,2020
29028,2010,2019
29029,2010,2019
29030,2010,2019
29031,2010,2019
29032,2010,2019
29033,2010,2020
29034,2010,2020
29035,2010,2020
29036,2010,2020
29037,2010,2019
29038,2010,2020
29039,2010,2020
29040,2010,2020
29041,2010,2020
29042,2010,2020
29043,2010,2020
29044,2010,2019
29045,2010,2019
29046,2010,2019
29047,2010,2019
29048,2010,2019
29049,2010,2019
29050,2010,2020
29051,2010,2020
29052,2010,2020
29053,2010,2020
29054,2010,2020
29055,2010,2020
29056,2010,2019
29057,2010,2019
29058,2010,2019
29059,2010,2019
29060,2010,2020
29061,2010,2020
29062,2010,2020
29063,2010,2020
29064,2010,2020
29065,2010,2020
29066,2010,2019
29067,2010,2019
29068,2010,2019
29069,2010,2019
29070,2010,2019
29071,2010,2020
29072,2010,2020
29073,2010,2020
29074,2010,2020
29075,2010,2020
29076,2010,2020
29077,2010,2019
29078,2010,2019
29079,2010,2019
29080,2010,2019
29081,2010,2019
29082,2010,2020
29083,2010,2020
29084,2010,2020
29085,2010,2020
