"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
910,"Ambystoma_opacum","Amphibia",33.27806,-81.72944,"Nearctic","Temperate coastal rivers","Number of breeding females",23,0.10793148344649,0.0961937531907262,-0.0826154167106461,0.278866376898041,0.11089429563043,1979,2002,23
911,"Ambystoma_talpoideum","Amphibia",32.56944,-93.93889,"Nearctic","Temperate upland rivers","Number of males",2,0.173803068852668,0.173803068852668,0.0590447826009535,0.288561355104383,0.162292724811869,1978,1980,2
912,"Ambystoma_talpoideum","Amphibia",32.56944,-93.93889,"Nearctic","Temperate upland rivers","Number of females",2,-0.032228994613459,-0.032228994613459,-0.133538908370217,0.0690809191432991,0.143273854037656,1978,1980,2
914,"Ambystoma_talpoideum","Amphibia",32.56944,-93.93889,"Nearctic","Temperate upland rivers","Number of females",2,-0.106571238846713,-0.106571238846713,-0.126293790693266,-0.0868486870001601,0.0278919003060017,1978,1980,2
915,"Ambystoma_talpoideum","Amphibia",33.27806,-81.72944,"Nearctic","Temperate coastal rivers","Number of breeding females",16,-0.0172978368021545,-0.019787851248608,-0.0377719224473241,0.00395557119087453,0.0153621307356055,1979,1995,16
916,"Ambystoma_tigrinum","Amphibia",39.29657,-106.42057,"Nearctic","Xeric freshwaters and endorheic basins","Number of Adults",6,-0.0738658557077986,-0.062063136007421,-0.252676373227831,0.083076289931149,0.129667174163509,1982,1988,6
917,"Ambystoma_tigrinum","Amphibia",41.72556,-87.85278,"Nearctic","Temperate floodplain rivers and wetlands","Number of individuals captured",4,-0.119280313679916,-0.127636252551653,-0.522878745280338,0.301029995663981,0.338815519553316,1991,1995,4
918,"Ambystoma_tigrinum","Amphibia",33.27806,-81.72944,"Nearctic","Temperate coastal rivers","Number of breeding females",15,0.138843704294175,0.157446808212489,-0.0389138154222621,0.293368750432883,0.139773631204433,1979,1994,15
927,"Anaxyrus_americanus","Amphibia",41.72556,-87.85278,"Nearctic","Temperate floodplain rivers and wetlands","Number of individuals captured",4,0.0994850021680092,0.0880456295278405,-0.255272505103306,0.477121254719662,0.307802865731365,1991,1995,4
928,"Anaxyrus_boreas","Amphibia",44.43113,-121.90963,"Nearctic","Temperate floodplain rivers and wetlands","Number of breeding adults",4,-0.00792860329430163,-0.0444260050394528,-0.233053827779693,0.290191424681392,0.227439104185036,1982,1986,4
929,"Anaxyrus_boreas","Amphibia",44.10139,-121.64278,"Nearctic","Temperate floodplain rivers and wetlands","Number of breeding adults",4,0.00843324298356552,-0.0499474332787595,-0.0928729240415009,0.226500762533282,0.146897399982922,1982,1986,4
930,"Anaxyrus_boreas","Amphibia",44.03,-121.68417,"Nearctic","Temperate floodplain rivers and wetlands","Number of breeding adults",4,-0.0274789657559485,0.0942502585187505,-0.579085093077568,0.280668713016273,0.402523233515976,1982,1986,4
931,"Anaxyrus_canorus","Amphibia",37.91639,-119.25389,"Nearctic","Temperate coastal rivers","Number of breedig adults",17,-0.149651061432369,-0.19553392880482,-0.477121254719662,0.1627272974977,0.170174381306685,1974,1991,17
932,"Anaxyrus_fowleri","Amphibia",42.57944,-80.41667,"Nearctic","Large lakes","Number of breeding individuals",20,0.0239155622229911,0.0419550519373311,-0.367123648444425,0.62226875973731,0.260378168232487,1988,2008,20
933,"Anaxyrus_quercicus","Amphibia",29.68333,-82,"Nearctic","Tropical and subtropical coastal rivers","Total number of individuals caught (marked and unmarked)",4,-0.277723914806207,-0.0277674310482146,-1.2373609157946,0.182000118666202,0.648171534765829,1986,1990,4
